name,description_full
Supanniga Eating Room (Tha Tien),"Riverside sibling with old-town views and the same regional heart. Book for sunset. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality."
Baan (Witthayu),"Homestyle Thai recipes from quality produce in a bright setting. Comfort with care. Flavors chase balance rather than blunt heat, layering herbs, citrus, and a measured sweetness over clean textures. Dishes land quickly from a focused kitchen, and staff help dial spice levels so first‑timers feel welcome. Portions are built for sharing, which makes it easy to sample across salads, grills, and a curry or two. Regulars know to mix a crunchy snack with one soup for contrast, then finish with something charcoal‑kissed."
Taling Pling (CentralWorld),"Reliable Thai all-rounder with a sprawling menu and family pricing. Easy to navigate. Flavors chase balance rather than blunt heat, layering herbs, citrus, and a measured sweetness over clean textures. Dishes land quickly from a focused kitchen, and staff help dial spice levels so first‑timers feel welcome. Portions are built for sharing, which makes it easy to sample across salads, grills, and a curry or two. Regulars know to mix a crunchy snack with one soup for contrast, then finish with something charcoal‑kissed."
Nara Thai Cuisine (Erawan),"Upscale Thai brand with boat noodles and curries refined for a polished room. Visitor-friendly. Menus evolve with the market, so courses feel anchored in the season rather than locked to a script. Service keeps the pacing unhurried and conversational, giving room for stories about sourcing and technique. Pairings are thoughtful without being fussy, and non‑alcoholic options are treated with the same care as wine. Expect a calm room where details matter—glassware, lighting, and the small courtesies that make a night flow."
Thon Krueng (Sukhumvit 49),"Neighborhood stalwart for seafood salads, curries and stir-fries. Consistent and fair. Flavors chase balance rather than blunt heat, layering herbs, citrus, and a measured sweetness over clean textures. Dishes land quickly from a focused kitchen, and staff help dial spice levels so first‑timers feel welcome. Portions are built for sharing, which makes it easy to sample across salads, grills, and a curry or two. Regulars know to mix a crunchy snack with one soup for contrast, then finish with something charcoal‑kissed."
Krua Je Ngor,"Thai seafood chain cooking fish simply and well. Vast menu suits groups. Flavors chase balance rather than blunt heat, layering herbs, citrus, and a measured sweetness over clean textures. Dishes land quickly from a focused kitchen, and staff help dial spice levels so first‑timers feel welcome. Portions are built for sharing, which makes it easy to sample across salads, grills, and a curry or two. Regulars know to mix a crunchy snack with one soup for contrast, then finish with something charcoal‑kissed."
Somboon Seafood (Surawong),"Another branch of the curry-crab legend, convenient to Silom. Smooth and reliable. Flavors chase balance rather than blunt heat, layering herbs, citrus, and a measured sweetness over clean textures. Dishes land quickly from a focused kitchen, and staff help dial spice levels so first‑timers feel welcome. Portions are built for sharing, which makes it easy to sample across salads, grills, and a curry or two. Regulars know to mix a crunchy snack with one soup for contrast, then finish with something charcoal‑kissed."
La Monita Taqueria (Ploenchit),"California-style tacos, burritos and margaritas in a colorful cantina. Lively and casual. Tortillas arrive warm and pliant, and fillings skew bright and citrusy rather than heavy. The room is playful—color, music, and a bar that keeps the mood high without drowning conversation. Come in a small group so you can split across tacos, a shared main, and one or two sides. Spice levels stay friendly, and staff will suggest a salsa path if you want to climb."
The Missing Burro,"Backyard Mexican cantina with tacos, mezcal and garden tables. Easygoing and fun. Tortillas arrive warm and pliant, and fillings skew bright and citrusy rather than heavy. The room is playful—color, music, and a bar that keeps the mood high without drowning conversation. Come in a small group so you can split across tacos, a shared main, and one or two sides. Spice levels stay friendly, and staff will suggest a salsa path if you want to climb."
Ojo (Mahanakhon),"High-rise modern Mexican with bold flavors and retro-futurist design. A view-driven night out. Tortillas arrive warm and pliant, and fillings skew bright and citrusy rather than heavy. The room is playful—color, music, and a bar that keeps the mood high without drowning conversation. Come in a small group so you can split across tacos, a shared main, and one or two sides. Spice levels stay friendly, and staff will suggest a salsa path if you want to climb."
Mezzaluna (lebua),"Sky-high European tasting menu with immaculate technique. Quietly celebratory. Menus evolve with the market, so courses feel anchored in the season rather than locked to a script. Service keeps the pacing unhurried and conversational, giving room for stories about sourcing and technique. Pairings are thoughtful without being fussy, and non‑alcoholic options are treated with the same care as wine. Expect a calm room where details matter—glassware, lighting, and the small courtesies that make a night flow."
Yu Ting Yuan (Four Seasons Bangkok),"Refined Cantonese overlooking the river with crafted dim sum and roasts. Calm and precise. Menus evolve with the market, so courses feel anchored in the season rather than locked to a script. Service keeps the pacing unhurried and conversational, giving room for stories about sourcing and technique. Pairings are thoughtful without being fussy, and non‑alcoholic options are treated with the same care as wine. Expect a calm room where details matter—glassware, lighting, and the small courtesies that make a night flow."
Nan Bei (Rosewood Bangkok),"Lux Chinese dining that bridges North and South with signature duck. Dramatic interiors. Menus evolve with the market, so courses feel anchored in the season rather than locked to a script. Service keeps the pacing unhurried and conversational, giving room for stories about sourcing and technique. Pairings are thoughtful without being fussy, and non‑alcoholic options are treated with the same care as wine. Expect a calm room where details matter—glassware, lighting, and the small courtesies that make a night flow."
Fei Ya (Renaissance),"Cantonese restaurant known for roast duck and weekend dim sum. Contemporary room. Dim sum skins stay thin, broths pour clear, and roast meats cut with a lacquered snap that signals craft. Tea is treated seriously; staff match lighter infusions to steamed items and stronger pours to roasts. Weekend lunches are festive with families, while weekday services feel composed and efficient. Sharing is the point—order broadly, then repeat your favorites in a second wave."
Wah Lok (Carlton),"Singapore-born Cantonese with artisanal dim sum and double-boiled soups. Serene and confident. Flavors chase balance rather than blunt heat, layering herbs, citrus, and a measured sweetness over clean textures. Dishes land quickly from a focused kitchen, and staff help dial spice levels so first‑timers feel welcome. Portions are built for sharing, which makes it easy to sample across salads, grills, and a curry or two. Regulars know to mix a crunchy snack with one soup for contrast, then finish with something charcoal‑kissed."
Yao Restaurant (Surawongse),"Contemporary Cantonese with skyline views and an adjacent rooftop bar. Elegant pacing. Dim sum skins stay thin, broths pour clear, and roast meats cut with a lacquered snap that signals craft. Tea is treated seriously; staff match lighter infusions to steamed items and stronger pours to roasts. Weekend lunches are festive with families, while weekday services feel composed and efficient. Sharing is the point—order broadly, then repeat your favorites in a second wave."
Shang Palace (Shangri‑La),"Hotel Cantonese classic with trolley dim sum and banquet seafood. River-adjacent polish. Flavors chase balance rather than blunt heat, layering herbs, citrus, and a measured sweetness over clean textures. Dishes land quickly from a focused kitchen, and staff help dial spice levels so first‑timers feel welcome. Portions are built for sharing, which makes it easy to sample across salads, grills, and a curry or two. Regulars know to mix a crunchy snack with one soup for contrast, then finish with something charcoal‑kissed."
Mei Jiang (The Peninsula),"Riverside Chinese fine dining focused on balance and pristine seafood. Garden views. Menus evolve with the market, so courses feel anchored in the season rather than locked to a script. Service keeps the pacing unhurried and conversational, giving room for stories about sourcing and technique. Pairings are thoughtful without being fussy, and non‑alcoholic options are treated with the same care as wine. Expect a calm room where details matter—glassware, lighting, and the small courtesies that make a night flow."
Kisso (Westin),"Seasonal Japanese that balances sashimi, tempura and grills. Set lunches shine. Cuts arrive with proper sear and a sense of occasion, flanked by classic sides that respect the main event. The bar knows its way around whiskey and bold reds, but there’s always a gentler pairing if you prefer. Servers check doneness with care and will happily steer you between sauces and house rubs. It’s equally suited to business dinners and low‑light date nights where conversation takes its time."
KiSara (Conrad),"Teppan, sushi and kaiseki-leaning menus in a hushed room. Private rooms for business. Precision is the quiet theme—temperature, texture, and seasoning meet at a calm center. Solo diners are welcome at counters, while groups trade plates and compare notes over sake or tea. Seasonal specials reward repeat visits, and the best strategy is to order a little wider than usual. Pacing is measured; you never feel rushed, even when the room is full and the grill is singing."
Nami Teppanyaki (JW Marriott),"Theatrical teppanyaki with premium beef and seafood. Family-friendly sizzle. Flavors chase balance rather than blunt heat, layering herbs, citrus, and a measured sweetness over clean textures. Dishes land quickly from a focused kitchen, and staff help dial spice levels so first‑timers feel welcome. Portions are built for sharing, which makes it easy to sample across salads, grills, and a curry or two. Regulars know to mix a crunchy snack with one soup for contrast, then finish with something charcoal‑kissed."
Ginza Sushi Ichi (Erawan),"Intimate Edomae omakase importing market-fresh fish. Ceremony and calm. Menus evolve with the market, so courses feel anchored in the season rather than locked to a script. Service keeps the pacing unhurried and conversational, giving room for stories about sourcing and technique. Pairings are thoughtful without being fussy, and non‑alcoholic options are treated with the same care as wine. Expect a calm room where details matter—glassware, lighting, and the small courtesies that make a night flow."
Sushi Ichizu,"High-end Edomae sushi with aged neta and precise shari. Minimalist room. Precision is the quiet theme—temperature, texture, and seasoning meet at a calm center. Solo diners are welcome at counters, while groups trade plates and compare notes over sake or tea. Seasonal specials reward repeat visits, and the best strategy is to order a little wider than usual. Pacing is measured; you never feel rushed, even when the room is full and the grill is singing."
Sushi Seki (Phrom Phong),"Warm, focused omakase counter with mature fish and a loyal crowd. Reservations advised. Menus evolve with the market, so courses feel anchored in the season rather than locked to a script. Service keeps the pacing unhurried and conversational, giving room for stories about sourcing and technique. Pairings are thoughtful without being fussy, and non‑alcoholic options are treated with the same care as wine. Expect a calm room where details matter—glassware, lighting, and the small courtesies that make a night flow."
Umi (Thonglor),"Serene sushi and kaiseki-leaning courses with seasonal restraint. Clean lines, clean flavors. Precision is the quiet theme—temperature, texture, and seasoning meet at a calm center. Solo diners are welcome at counters, while groups trade plates and compare notes over sake or tea. Seasonal specials reward repeat visits, and the best strategy is to order a little wider than usual. Pacing is measured; you never feel rushed, even when the room is full and the grill is singing."
JUA Izakaya,"Warehouse-turned-izakaya for yakitori, small plates and sake. Hip soundtrack, late hours. Precision is the quiet theme—temperature, texture, and seasoning meet at a calm center. Solo diners are welcome at counters, while groups trade plates and compare notes over sake or tea. Seasonal specials reward repeat visits, and the best strategy is to order a little wider than usual. Pacing is measured; you never feel rushed, even when the room is full and the grill is singing."
Tenyuu Grand (Sathorn),"Large-format Japanese with sushi, omakase, teppan and private rooms. Suits celebrations. Menus evolve with the market, so courses feel anchored in the season rather than locked to a script. Service keeps the pacing unhurried and conversational, giving room for stories about sourcing and technique. Pairings are thoughtful without being fussy, and non‑alcoholic options are treated with the same care as wine. Expect a calm room where details matter—glassware, lighting, and the small courtesies that make a night flow."
Teppen (Thonglor),"Rowdy robata with charcoal smoke, shouts and sake. Skewers and small plates keep pace. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality."
Kiani (Sukhumvit 8),"Home-style Korean with stews, pancakes and barbecue. Comfortable and consistent. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality."
Doorae (Sukhumvit 39),"Long-running K-BBQ with charcoal grills and generous banchan. Late and lively. Cuts arrive with proper sear and a sense of occasion, flanked by classic sides that respect the main event. The bar knows its way around whiskey and bold reds, but there’s always a gentler pairing if you prefer. Servers check doneness with care and will happily steer you between sauces and house rubs. It’s equally suited to business dinners and low‑light date nights where conversation takes its time."
Al Saray (Sukhumvit 31),"Lebanese-Indian kitchen baking fresh bread and grilling meats with hospitality. Warm and golden. Cuts arrive with proper sear and a sense of occasion, flanked by classic sides that respect the main event. The bar knows its way around whiskey and bold reds, but there’s always a gentler pairing if you prefer. Servers check doneness with care and will happily steer you between sauces and house rubs. It’s equally suited to business dinners and low‑light date nights where conversation takes its time."
Bawarchi (Chidlom),"Classic North Indian near the shopping district—tandoor meats, rich curries and biryani. Polished service. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality."
Charcoal Tandoor Grill & Mixology,"Modern tandoor grill house with inventive cocktails and moody lighting. Built for nights out. Cuts arrive with proper sear and a sense of occasion, flanked by classic sides that respect the main event. The bar knows its way around whiskey and bold reds, but there’s always a gentler pairing if you prefer. Servers check doneness with care and will happily steer you between sauces and house rubs. It’s equally suited to business dinners and low‑light date nights where conversation takes its time."
Dosa King (Sukhumvit 11/13),"Vegetarian South Indian for crisp dosas, idli and thali sets. Quick and budget-friendly. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality."
Mrs. Balbir’s (Nana),"Long-standing Punjabi comfort with cooking classes on the side. Loyal neighborhood following. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality."
Cocotte Farm Roast & Winery,"Brasserie for rotisserie chicken, tomahawks and hearty salads. Upbeat and shareable. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality. If you’re mapping a Bangkok food crawl, mark this for a focused stop that captures the city’s appetite for flavor and hospitality."
Pesca Mar & Terra Bistro,"Seafood-and-grill bistro pairing oysters and fish with steaks and charcuterie. Convivial energy. Flavors chase balance rather than blunt heat, layering herbs, citrus, and a measured sweetness over clean textures. Dishes land quickly from a focused kitchen, and staff help dial spice levels so first‑timers feel welcome. Portions are built for sharing, which makes it easy to sample across salads, grills, and a curry or two. Regulars know to mix a crunchy snack with one soup for contrast, then finish with something charcoal‑kissed."
El Mercado (Sukhumvit 16),"Bistro-market for seafood platters, cheeses and charcuterie with a lively courtyard. Retail counters beckon. Flavors chase balance rather than blunt heat, layering herbs, citrus, and a measured sweetness over clean textures. Dishes land quickly from a focused kitchen, and staff help dial spice levels so first‑timers feel welcome. Portions are built for sharing, which makes it easy to sample across salads, grills, and a curry or two. Regulars know to mix a crunchy snack with one soup for contrast, then finish with something charcoal‑kissed."
Lenzi Tuscan Kitchen,"Tuscan farmhouse flavors—from salumi to bistecca—presented with modern polish. Cellar-driven pairings. The room leans warm—wood, soft light, and the steady clink of stemware that signals an easy night ahead. Pasta sauces shine through reduction and restraint, and the grill sends out quiet smoke and honest char. Staff speak the menu fluently and nudge you toward seasonal picks without the hard sell. It’s a place to linger; get bread, share a salad, then split a main and keep a little space for dessert."
